일자,시각,경기결과,중계사,구장
8.21 (일),14:00,SSG  6:1  키움,SPOTV,고척
8.21 (일),17:00,한화  1:8  롯데,KBS N SPORTS,사직
8.21 (일),17:00,KIA  3:11  KT,MBC SPORTS+,수원
8.21 (일),17:00,NC  6:2  삼성,SBS SPORTS,대구
8.21 (일),17:00,두산  4:2  LG,SPOTV2,잠실
