일자,시각,경기결과,중계사,구장
6.17 (금),18:30,한화  1:1  NC,SBS SPORTS,창원
6.17 (금),18:30,KT  4:2  두산,SPOTV2,잠실
6.17 (금),18:30,LG  4:2  키움,SPOTV,고척
6.17 (금),18:30,SSG  6:2  롯데,MBC SPORTS+,사직
6.17 (금),18:30,삼성  3:5  KIA,KBS N SPORTS,광주
