일자,시각,경기결과,중계사,구장
6.22 (수),18:30,한화  5:6  LG,KBS N SPORTS,잠실
6.22 (수),18:30,롯데  7:5  KIA,SPOTV2,광주
6.22 (수),18:30,NC  11:0  KT,SBS SPORTS,수원
6.22 (수),18:30,두산  5:6  SSG,SPOTV,문학
6.22 (수),18:30,키움  6:0  삼성,MBC SPORTS+,대구
