일자,시각,경기결과,중계사,구장
5.8 (일),14:00,KIA  7:6  한화,KBS N SPORTS,대전
5.8 (일),14:00,KT  5:0  두산,SBS SPORTS,잠실
5.8 (일),14:00,LG  3:2  NC,SPOTV2,창원
5.8 (일),14:00,SSG  6:2  키움,SPOTV,고척
5.8 (일),14:00,삼성  4:2  롯데,MBC SPORTS+,사직
