일자,시각,경기결과,중계사,구장
4.30 (토),14:00,삼성  5:4  KIA,SBS,광주
4.30 (토),17:00,한화  2:0  NC,SBS SPORTS,창원
4.30 (토),17:00,KT  1:4  키움,"KBS N SPORTS, SPOTV",고척
4.30 (토),17:00,롯데  3:1  LG,MBC SPORTS+,잠실
4.30 (토),17:00,두산  1:2  SSG,SPOTV2,문학
