일자,시각,경기결과,중계사,구장
5.26 (목),18:30,KIA  9:7  삼성,SBS SPORTS,대구
5.26 (목),18:30,KT  2:1  NC,SPOTV2,창원
5.26 (목),18:30,롯데  5:6  SSG,MBC SPORTS+,문학
5.26 (목),18:30,두산  24:3  한화,KBS N SPORTS,대전
5.26 (목),18:30,키움  12:5  LG,SPOTV,잠실
