일자,시각,경기결과,중계사,구장
7.8 (금),18:30,한화  3:5  KIA,SPOTV,광주
7.8 (금),18:30,LG  11:4  두산,KBS N SPORTS,잠실
7.8 (금),18:30,롯데  3:6  KT,MBC SPORTS+,수원
7.8 (금),18:30,NC  2:3  키움,SPOTV2,고척
7.8 (금),18:30,SSG  9:8  삼성,SBS SPORTS,대구
