일자,시각,경기결과,중계사,구장
5.21 (토),14:00,롯데  4:12  두산,KBS2,잠실
5.21 (토),17:00,한화  2:11  키움,"SBS SPORTS, SPOTV2",고척
5.21 (토),17:00,KT  5:2  삼성,SPOTV,대구
5.21 (토),17:00,LG  4:3  SSG,KBS N SPORTS,문학
5.21 (토),17:00,NC  7:4  KIA,MBC SPORTS+,광주
