일자,시각,경기결과,중계사,구장
4.21 (목),18:30,한화  7:6  롯데,SBS SPORTS,사직
4.21 (목),18:30,KT  6:2  LG,SPOTV2,잠실
4.21 (목),18:30,두산  2:1  KIA,MBC SPORTS+,광주
4.21 (목),18:30,삼성  10:3  NC,SPOTV,창원
4.21 (목),18:30,키움  2:4  SSG,KBS N SPORTS,문학
