일자,시각,경기결과,중계사,구장
6.23 (목),18:30,한화  VS LG  경기취소,해당 경기는 현지 사정으로 취소되었습니다.,잠실
6.23 (목),18:30,롯데  4:7  KIA,SPOTV2,광주
6.23 (목),18:30,NC  VS KT  경기취소,해당 경기는 현지 사정으로 취소되었습니다.,수원
6.23 (목),18:30,두산  VS SSG  경기취소,해당 경기는 현지 사정으로 취소되었습니다.,문학
6.23 (목),18:30,키움  6:1  삼성,MBC SPORTS+,대구
