일자,시각,경기결과,중계사,구장
7.2 (토),14:00,한화  0:3  키움,SPOTV,고척
7.2 (토),18:00,KIA  1:2  SSG,MBC SPORTS+,문학
7.2 (토),18:00,롯데  8:1  LG,KBS N SPORTS,잠실
7.2 (토),18:00,두산  3:8  KT,SPOTV2,수원
7.2 (토),18:00,삼성  1:17  NC,SBS SPORTS,창원
