일자,시각,경기결과,중계사,구장
9.30 (금),18:30,롯데  VS 한화,KBS N SPORTS,대전
9.30 (금),18:30,NC  VS LG,SPOTV2,잠실
9.30 (금),18:30,두산  VS 삼성,"MBC SPORTS+, SBS SPORTS",대구
9.30 (금),18:30,키움  VS SSG,SPOTV,문학
